Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
2010-10-11,20510,"COSTA, Flávio Moreira da (org.)","MELHORES CONTOS DE CÃES E GATOS, OS",PNBE,1,-,-,2007,-,EDIOURO,Contos - Antologia,T
2010-10-11,20511,"CORALINA, Cora",ESTÓRIAS DA CASA VELHA DA PONTE,PNBE,1,-,14a.,2008,-,GAIA,Contos Brasileiros,T
2010-10-11,20512,"PIROLI, Wander",É PROIBIDO COMER A GRAMA,PNBE,1,-,-,2006,-,LEITURA,Lit. Bras. Policial,T
2010-10-11,20513,"SIMÕES, Maria Lúcia",CONTOS CONTIDOS,PNBE,1,-,2a.,2006,-,RHJ,Contos Brasileiros,T
2010-10-11,20514,"MONTENEGRO, Tércia","VENDEDOR DE JUDAS, O",PNBE,1,-,3a.,2009,-,DEMÓCRITO ROCHA,Contos Brasileiros,T
2010-10-11,20515,"ABREU, Caio Fernando et al.","PROSA DO MUNDO, A",PNBE,1,-,-,2008,-,GAIA,Contos Brasileiros,T
2010-10-11,20516,"CAPARELLI, Sérgio","COLCHA MUITO CURTA, UMA",PNBE,1,-,-,2009,-,L&PM,Contos Infanto juvenis,T
2010-10-11,20517,"SCLIAR, Moacyr e ZILBERMANN, R. (sel.)",MELHORES CONTOS,PNBE,1,-,6a.,2003,-,GLOBAL,Contos Brasileiros,T
2010-10-11,20518,"LEMOS, Gláucia","VOU TE CONTAR, MEU CAMARADA",PNBE,1,Zona Livre,-,2008,-,DIMENSÃO,Novela Brasileira - Jovens,T
2010-10-11,20519,"SCLIAR, Moacir",PRA VOCÊ EU CONTO,PNBE,1,Entre Linhas - Sociedade,19a.,2008,-,ATUAL,Lit. Infantojuvenil - História,T
2010-10-11,20520,"REIZ, Gustavo","CONFIDÊNCIAS, CONFUSÕES E... GAROTAS",PNBE,1,-,-,2007,-,PRUMO,Lit. Infantojuvenil - Adolescência,T
2010-10-11,20521,"HUGO, Victor e SÁ, João Gomes de (adap.)","CORCUNDA DE NOTRE-DAME EM CORDEL, O",PNBE,1,Clássicos em Cordel,-,2008,-,NOVA ALEXANDRIA,Poesia - Cordel,T
2010-10-11,20522,"SHAKESPEARE, W. e HAURÉLIO, M. (adap.)","MEGERA DOMADA EM CORDEL, A",PNBE,1,Clássicos em Cordel,-,2007,-,NOVA ALEXANDRIA,Poesia - Cordel,T
2010-10-11,20523,"DOYLE, Sir Arthur Conan","CÃO DOS BASKERVILLES, O",PNBE,1,Sherlock Holmes,-,2005,-,MELHORAMENTOS,Clássicos - Mistério,T
2010-10-11,20524,"RIOS, Rosana","MISTÉRIO DA TERCEIRA MEIA, O",PNBE,1,-,-,2006,-,DCL,Lit. Infantojuvenil - Mistério,T
2010-10-11,20525,"MASSA, Ana Cristina","SEGREDO DO COLECIONADOR, O",PNBE,1,Os invencíveis,2a.,2007,-,BIRUTA,Lit. Infantojuvenil - Mistério,T
2010-10-11,20526,"CARRASCO, Walcyr",EM BUSCA DE UM SONHO,PNBE,1,-,-,2007,-,UNO EDUCAÇÃO,Lit. Infantojuvenil - Adolescência,T
2010-10-11,20527,"YAMÃ, Yaguarê et al.","MURUGAWA: MITOS, CONTOS E FÁBULAS DO POVO MARAGUÁ",PNBE,1,-,-,2007,-,WMF MARTINS FONTES,Contos Indígenas Brasileiros,T
2010-10-11,20528,"ESPESCHIT, Rita",TIRO NO ESCURO,PNBE,1,Adolescer,-,2008,-,LÊ,Lit. Juvenil - Adolescência,T
2010-10-11,20529,"DREWNICK, Raul","PAIS, FILHOS E OUTROS BICHOS",PNBE,1,-,-,2008,-,IBEP,Crônicas - Bichos,T
2010-10-11,20530,"VERSIANI, Ivana",AINDA UMA VEZ - ADEUS!: A ROMÂNTICA VIDA DE GONÇALVES DIAS,PNBE,1,-,2a.,2008,-,DUBOLSINHO,Biografia,T
2010-10-11,20531,"VILELA, Luiz",SETE HISTÓRIAS,PNBE,1,Magias,4a.,2008,-,GAIA,Contos Infanto juvenis,T
2010-10-11,20532,"SHAKESPEARE, W. e McCAGUHREAN, G.",ROMEU E JULIETA E OUTRAS PEÇAS DE SHAKESPEARE,PNBE,1,-,-,2009,-,MARTINS FONTES,Clássicos - Teatro,T
2010-10-11,20533,"LEAL, Marconi",TUMBU,PNBE,1,Infantojuvenil,-,2007,-,EDITORA 34,Lit.Infantojuvenil - Escravidão,T
2010-10-11,20534,"CARNEIRO, A., NEIVA, L. e ORTHOF, S.",QUEM ACORDA SONHA,PNBE,1,Assim é se lhe parece,-,1994,6,EDIOURO,Lit.Infantojuvenil - Livro+CD,T
2010-10-11,20535,"GOMES, NILMA LINO",BETINA,PNBE,1,-,-,2009,-,MAZZA EDIÇÕES,Lit. Infantojuvenil - autoestima,T
2010-10-11,20536,ZIRALDO,VIAGENS DA CAROLINA,PNBE,1,Almanaque Maluquinho,2a.,2009,-,GLOBO LIVROS,Lit. Infantojuvenil - HQ,T
2010-10-11,20537,"FOX, Mem e VIVAS, Julie",GUILHERME AUGUSTO ARAÚJO FERNANDES,PNBE,1,-,-,1995,-,BRINQUE-BOOK,Lit. Infantojuvenil - Memórias - Livro+CD,T
2010-10-11,20538,"CHEN, Kety",NIAN: reconto de tradição oral chinesa,PNBE,1,-,-,2008,-,LAROUSSE JÚNIOR,Contos tradicionais chineses,T
2010-10-11,20539,"ORTHOF, Sylvia",SE AS COISAS FOSSEM MÃES,PNBE,1,-,3a.,2009,-,SINGULAR,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20540,"GÖBEL, Anna",SE UM DIA EU FOR EMBORA,PNBE,1,-,-,2008,-,AUTÊNTICA,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20541,"GOMES, L., HOLANDA, A.",DUELO DANADO DE DANDÃO E DEDÉ: CANTORIA EM TRAVA-LÍNGUAS,PNBE,1,-,-,2009,-,ELEMENTAR,Contos infantis - trava-línguas,T
2010-10-11,20542,"CASTANHA, Marilda","PULA, GATO!",PNBE,1,-,-,2008,-,SCIPIONE,Livro de Imagens,T
2010-10-11,20543,"PRADO, Adélia",QUANDO EU ERA PEQUENA,PNBE,1,-,8a.,2010,-,RECORD,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20544,"SAKAI, Stan",USAGI YOJIMBO: DAISHO,PNBE,1,-,2a.,2010,-,DEVIR,HQ,T
2010-10-11,20545,"NEVES, André",CAPITÃO E A SEREIA,PNBE,1,-,-,2007,-,SCIPIONE,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20546,"TCHEKHOV, Anton",KACHTANKA,PNBE,1,-,2a.,2008,-,COSACNAIFY,Contos infantis - Animais,T
